user_id,age,country,subscription_type,registration_date,total_watch_time_hours
U0161,59,Mexico,Standard,2023-07-11,150.1
U0162,44,Peru,Basic,2023-07-23,190.2
U0163,58,Mexico,Standard,2022-05-14,458.8
U0164,20,Colombia,Premium,2023-09-10,333.9
U0165,38,Mexico,Premium,2023-12-08,844.8
U0166,40,Argentina,Premium,2023-06-03,763.7
U0167,59,Argentina,Premium,2022-10-29,88.5
U0168,64,Colombia,Basic,2022-07-08,278.0
U0169,46,Colombia,Premium,2022-04-18,738.8
U0170,65,Colombia,Basic,2023-07-01,96.6
U0171,58,Peru,Premium,2023-11-26,80.3
U0172,31,Colombia,Standard,2024-01-10,222.7
U0173,48,Mexico,Basic,2022-10-18,330.2
U0174,53,Colombia,Basic,2023-07-12,81.0
U0175,19,Chile,Premium,2022-09-24,807.6
U0176,58,Argentina,Premium,2023-11-20,160.3
U0177,30,Colombia,Basic,2023-01-10,100.2
U0178,26,Mexico,Basic,2024-01-02,336.9
U0179,35,Mexico,Basic,2022-05-05,447.5
U0180,22,Argentina,Basic,2023-01-05,41.6
U0181,34,Argentina,Basic,2023-01-05,73.7
U0182,44,Argentina,Basic,2022-04-05,314.3
U0183,51,Mexico,Standard,2023-07-22,468.1
U0184,60,Argentina,Basic,2023-07-02,62.3
U0185,39,Colombia,Standard,2022-10-21,482.0
U0186,58,Peru,Standard,2024-02-20,531.0
U0187,37,Mexico,Standard,2023-03-27,574.6
U0188,18,Chile,Basic,2022-04-06,463.1
U0189,57,Chile,Standard,2022-04-14,504.2
U0190,46,Chile,Basic,2023-02-02,410.6
U0191,40,Colombia,Premium,2023-11-22,196.7
U0192,26,Argentina,Premium,2023-02-01,22.4
U0193,31,Argentina,Basic,2022-09-03,458.7
U0194,44,Colombia,Premium,2022-05-13,806.9
U0195,23,Argentina,Basic,2022-06-28,300.0
U0196,44,Mexico,Basic,2022-06-22,390.9
U0197,42,Peru,Standard,2022-11-09,50.2
U0198,19,Mexico,Basic,2022-05-05,437.5
U0199,43,Mexico,Standard,2022-09-30,346.2
U0200,58,Mexico,Premium,2023-11-22,497.5
U0201,30,Colombia,Basic,2022-11-14,162.6
U0202,53,Peru,Basic,2023-11-09,158.2
U0203,19,Peru,Basic,2023-11-13,89.3
U0204,36,Argentina,Standard,2022-07-24,263.1
U0205,49,Colombia,Basic,2022-02-16,217.1
U0206,27,Mexico,Basic,2022-06-24,370.0
U0207,53,Peru,Standard,2022-08-16,485.8
U0208,22,Colombia,Standard,2023-04-05,387.2
U0209,30,Mexico,Basic,2023-02-15,289.0
U0210,45,Colombia,Premium,2023-12-30,544.1
U0211,41,Colombia,Basic,2022-03-18,473.0
U0212,31,Peru,Premium,2022-04-02,450.5
U0213,52,Colombia,Premium,2022-11-15,636.6
U0214,31,Peru,Standard,2023-11-23,33.0
U0215,59,Argentina,Standard,2023-06-22,63.0
U0216,63,Mexico,Basic,2022-02-21,378.3
U0217,64,Mexico,Basic,2023-04-29,280.3
U0218,39,Colombia,Basic,2023-11-09,99.4
U0219,60,Peru,Basic,2023-02-19,438.6
U0220,60,Argentina,Standard,2023-11-28,65.8
U0221,20,Colombia,Basic,2022-08-10,93.1
U0222,59,Chile,Basic,2022-05-20,353.9
U0223,60,Mexico,Premium,2023-08-21,284.3
U0224,50,Chile,Basic,2023-03-07,355.8
U0225,36,Colombia,Basic,2023-02-25,423.8
U0226,52,Mexico,Premium,2023-06-26,763.4
U0227,53,Colombia,Standard,2022-04-04,535.4
U0228,18,Peru,Basic,2023-08-18,336.5
U0229,27,Mexico,Basic,2023-06-17,420.0
U0230,60,Argentina,Premium,2023-09-08,107.2
U0231,59,Colombia,Basic,2022-09-10,285.5
U0232,53,Colombia,Premium,2023-05-06,44.0
U0233,36,Argentina,Basic,2024-02-10,238.0
U0234,59,Chile,Basic,2024-01-28,134.3
U0235,52,Mexico,Standard,2024-02-21,308.6
U0236,55,Mexico,Standard,2023-10-30,426.8
U0237,39,Colombia,Basic,2022-07-23,92.9
U0238,41,Peru,Basic,2022-02-23,297.1
U0239,49,Argentina,Basic,2023-01-17,379.6
U0240,60,Chile,Basic,2022-07-01,407.8
U0241,60,Mexico,Standard,2023-09-25,49.3
U0242,54,Argentina,Standard,2023-01-28,526.9
U0243,50,Mexico,Basic,2023-11-27,359.3
U0244,49,Colombia,Basic,2023-06-23,380.4
U0245,58,Chile,Basic,2023-06-22,228.4
U0246,38,Argentina,Premium,2023-09-12,639.0
U0247,44,Peru,Basic,2024-02-21,327.8
U0248,35,Mexico,Premium,2022-12-12,682.6
U0249,29,Chile,Premium,2022-08-29,132.1
U0250,63,Colombia,Standard,2022-02-24,376.4
U0251,63,Mexico,Basic,2022-05-28,171.7
U0252,20,Chile,Basic,2022-05-24,90.3
U0253,59,Chile,Standard,2022-06-21,373.5
U0254,43,Colombia,Basic,2024-02-02,406.5
U0255,53,Peru,Standard,2022-09-13,280.0
U0256,59,Chile,Premium,2022-07-07,698.9
U0257,49,Peru,Basic,2023-05-28,337.6
U0258,48,Colombia,Standard,2022-06-09,174.7
U0259,61,Colombia,Premium,2023-06-02,581.1
U0260,32,Colombia,Standard,2022-03-10,263.0
U0261,48,Argentina,Standard,2023-02-10,199.3
U0262,58,Peru,Basic,2023-03-16,390.4
U0263,62,Mexico,Basic,2022-04-01,441.3
U0264,46,Mexico,Basic,2023-04-20,17.1
U0265,20,Chile,Standard,2024-01-01,641.8
U0266,41,Mexico,Premium,2022-11-25,782.7
U0267,62,Argentina,Basic,2023-07-16,315.5
U0268,53,Argentina,Basic,2023-05-03,330.7
U0269,55,Mexico,Standard,2023-12-13,191.3
U0270,32,Argentina,Standard,2022-02-03,120.6
U0271,59,Mexico,Standard,2023-04-05,117.9
U0272,61,Colombia,Standard,2023-04-26,237.6
U0273,18,Colombia,Premium,2022-12-23,1041.9
U0274,26,Argentina,Basic,2022-10-03,525.5
U0275,40,Colombia,Premium,2023-07-12,324.5
U0276,22,Argentina,Basic,2022-12-21,121.9
U0277,21,Colombia,Premium,2022-05-01,624.0
U0278,51,Mexico,Premium,2022-01-11,547.2
U0279,50,Mexico,Standard,2023-03-07,247.0
U0280,49,Colombia,Basic,2022-03-07,401.3
U0281,29,Argentina,Basic,2022-12-24,134.4
U0282,62,Chile,Standard,2023-03-01,400.9
U0283,25,Chile,Standard,2023-02-10,60.6
U0284,50,Mexico,Basic,2023-01-20,60.2
U0285,34,Chile,Standard,2022-04-02,419.1
U0286,41,Colombia,Basic,2022-06-29,103.1
U0287,22,Mexico,Premium,2023-03-09,903.9
U0288,59,Colombia,Premium,2023-04-05,837.5
U0289,45,Argentina,Premium,2023-04-04,720.3
U0290,44,Chile,Premium,2022-02-22,112.0
U0291,37,Argentina,Premium,2023-06-04,404.7
U0292,64,Argentina,Standard,2022-12-07,205.4
U0293,22,Argentina,Standard,2022-12-08,405.0
U0294,25,Mexico,Standard,2022-01-28,300.6
U0295,50,Chile,Basic,2022-11-26,26.2
U0296,31,Colombia,Standard,2022-10-21,197.9
U0297,36,Colombia,Basic,2022-06-05,166.7
U0298,48,Colombia,Standard,2023-01-05,145.1
U0299,20,Argentina,Standard,2023-09-23,317.8
U0300,27,Mexico,Basic,2022-08-01,189.0
U0301,62,Argentina,Standard,2023-05-03,306.2
U0302,37,Peru,Premium,2022-06-16,212.9
U0303,48,Colombia,Standard,2022-12-05,291.9
U0304,46,Colombia,Basic,2023-04-20,405.7
U0305,35,Colombia,Basic,2023-03-23,362.6
U0306,36,Argentina,Basic,2022-03-23,329.1
U0307,47,Colombia,Premium,2022-04-11,908.3
U0308,57,Mexico,Basic,2022-11-26,177.8
U0309,54,Mexico,Premium,2023-09-20,485.8
U0310,32,Peru,Basic,2022-02-28,88.9
U0311,44,Peru,Premium,2023-06-06,455.3
U0312,57,Colombia,Premium,2022-10-07,553.7
U0313,36,Chile,Basic,2022-06-29,455.2
U0314,33,Argentina,Standard,2023-12-16,257.3
U0315,65,Colombia,Basic,2022-03-26,266.2
U0316,53,Colombia,Basic,2022-03-06,171.4
U0317,62,Colombia,Premium,2023-10-10,844.7
U0318,28,Colombia,Standard,2022-12-19,465.7
U0319,26,Colombia,Premium,2022-05-24,1061.9
U0320,37,Argentina,Basic,2023-03-02,85.7
U0321,47,Mexico,Premium,2022-10-02,624.5
U0322,57,Peru,Standard,2022-07-20,167.8
U0323,55,Mexico,Basic,2023-09-01,30.7
U0324,37,Chile,Premium,2024-02-26,208.0
U0325,46,Colombia,Basic,2022-01-27,98.6
U0326,39,Mexico,Basic,2023-09-30,336.2
U0327,28,Mexico,Premium,2022-11-30,64.6
U0328,33,Chile,Basic,2022-02-12,180.2
U0329,23,Mexico,Standard,2022-06-28,603.6
U0330,45,Chile,Premium,2022-06-26,112.6
U0331,53,Mexico,Premium,2023-06-21,62.7
U0332,60,Mexico,Standard,2022-08-31,357.1
U0333,44,Argentina,Premium,2022-06-09,252.8
U0334,37,Argentina,Standard,2022-06-24,276.9
U0335,26,Colombia,Premium,2023-08-19,419.6
U0336,43,Mexico,Basic,2022-01-24,311.6
U0337,37,Peru,Standard,2023-03-20,265.9
U0338,56,Colombia,Basic,2022-06-13,412.3
U0339,27,Chile,Basic,2022-07-17,134.3
U0340,65,Chile,Standard,2023-11-20,429.2
U0341,50,Chile,Basic,2022-05-30,494.8
U0342,55,Colombia,Standard,2023-12-21,510.2
U0343,30,Mexico,Premium,2022-06-12,538.8
U0344,32,Peru,Standard,2023-05-26,538.9
U0345,25,Mexico,Basic,2022-04-07,174.1
U0346,29,Mexico,Standard,2023-12-19,23.7
U0347,64,Colombia,Premium,2024-02-24,571.1
U0348,60,Colombia,Premium,2023-02-19,222.0
U0349,58,Peru,Basic,2022-08-26,358.7
U0350,45,Argentina,Premium,2024-01-06,995.2
U0351,22,Peru,Basic,2022-10-02,146.6
U0352,37,Argentina,Basic,2022-09-30,125.7
U0353,27,Chile,Basic,2023-09-25,121.1
U0354,30,Argentina,Premium,2022-01-10,667.0
U0355,23,Colombia,Basic,2023-02-24,287.5
U0356,49,Argentina,Standard,2022-03-14,121.1
U0357,38,Argentina,Basic,2023-06-01,45.3
U0358,52,Chile,Standard,2022-11-14,61.5
U0359,46,Mexico,Standard,2023-10-15,26.3
U0360,34,Mexico,Basic,2022-12-09,72.4
U0361,65,Argentina,Premium,2024-01-20,430.6
U0362,37,Chile,Basic,2022-04-30,351.3
U0363,48,Argentina,Standard,2022-12-26,231.2
U0364,25,Mexico,Premium,2022-08-25,1072.5
U0365,62,Mexico,Basic,2022-09-18,126.9
U0366,51,Colombia,Standard,2022-04-05,65.6
U0367,59,Mexico,Basic,2024-01-01,161.9
U0368,46,Argentina,Premium,2023-04-04,399.7
U0369,29,Argentina,Basic,2022-09-04,107.7
U0370,61,Mexico,Standard,2022-12-07,120.3
U0371,46,Chile,Standard,2024-02-13,96.5
U0372,61,Colombia,Standard,2023-07-16,139.8
U0373,45,Chile,Standard,2023-01-16,234.0
U0374,34,Chile,Premium,2023-08-10,378.9
U0375,43,Peru,Premium,2023-07-02,708.4
U0376,61,Mexico,Basic,2023-10-30,11.5
U0377,32,Mexico,Standard,2023-05-02,144.6
U0378,56,Colombia,Premium,2022-08-24,154.5
U0379,56,Mexico,Premium,2022-12-19,410.3
U0380,63,Argentina,Premium,2023-09-19,300.5
U0381,63,Colombia,Standard,2022-01-04,356.2
U0382,39,Argentina,Premium,2023-04-11,982.8
U0383,21,Chile,Standard,2022-09-01,28.0
U0384,26,Mexico,Premium,2022-10-05,218.6
U0385,29,Mexico,Standard,2023-11-17,511.1
U0386,28,Peru,Basic,2022-09-05,297.0
U0387,29,Mexico,Premium,2023-10-22,320.1
U0388,43,Chile,Basic,2023-07-15,242.5
U0389,42,Mexico,Basic,2023-07-31,215.5
U0390,62,Peru,Premium,2023-11-08,304.7
U0391,26,Chile,Standard,2022-03-18,163.4
U0392,46,Mexico,Basic,2023-10-27,158.1
U0393,23,Colombia,Premium,2023-01-11,203.0
U0394,44,Peru,Premium,2022-10-12,941.9
U0395,47,Mexico,Standard,2023-07-11,449.0
U0396,57,Mexico,Basic,2022-02-11,33.4
U0397,27,Argentina,Standard,2023-04-21,510.2
U0398,32,Colombia,Basic,2022-04-16,263.6
U0399,20,Colombia,Basic,2023-09-29,462.8
U0400,41,Colombia,Basic,2022-05-15,474.4
U0401,32,Colombia,Standard,2022-01-21,416.9
U0402,22,Mexico,Premium,2022-03-16,572.3
U0403,50,Peru,Standard,2023-05-07,328.1
U0404,49,Mexico,Premium,2022-10-26,645.4
U0405,30,Colombia,Standard,2022-11-29,482.8
U0406,58,Argentina,Standard,2023-10-27,116.0
U0407,57,Mexico,Premium,2022-08-07,747.0
U0408,20,Mexico,Standard,2023-11-11,451.5
U0409,30,Mexico,Basic,2023-10-04,433.5
U0410,35,Chile,Basic,2023-04-27,150.6
U0411,52,Mexico,Basic,2023-02-05,150.4
U0412,33,Chile,Premium,2022-06-06,95.5
U0413,41,Mexico,Standard,2023-10-12,148.8
U0414,41,Mexico,Standard,2022-04-19,374.8
U0415,21,Colombia,Premium,2023-12-31,832.0
U0416,41,Colombia,Premium,2023-09-21,762.7
U0417,54,Colombia,Basic,2022-02-12,294.8
U0418,43,Argentina,Basic,2024-01-14,389.0
U0419,39,Mexico,Basic,2023-11-03,62.1
U0420,58,Peru,Standard,2022-07-20,446.6
U0421,37,Chile,Standard,2023-10-20,254.2
U0422,46,Argentina,Standard,2023-08-26,379.9
U0423,30,Peru,Standard,2023-08-26,206.4
U0424,48,Mexico,Basic,2023-08-21,353.7
U0425,61,Mexico,Standard,2022-09-18,492.8
U0426,49,Colombia,Premium,2023-01-13,519.2
U0427,41,Chile,Basic,2022-06-12,234.1
U0428,51,Peru,Standard,2022-03-08,352.6
U0429,27,Argentina,Standard,2023-10-18,294.5
U0430,21,Argentina,Premium,2023-11-14,410.7
U0431,61,Argentina,Premium,2023-05-20,586.1
U0432,31,Argentina,Premium,2022-12-03,44.6
U0433,59,Mexico,Standard,2022-08-22,101.4
U0434,57,Argentina,Basic,2022-05-11,124.6
U0435,45,Chile,Standard,2022-05-21,552.1
U0436,50,Mexico,Standard,2023-01-27,234.6
U0437,30,Colombia,Basic,2022-01-06,41.3
U0438,58,Mexico,Basic,2023-08-30,434.6
U0439,56,Argentina,Basic,2022-08-21,430.6
U0440,60,Colombia,Premium,2022-06-13,235.7
U0441,49,Chile,Standard,2022-12-16,210.4
U0442,61,Mexico,Standard,2023-02-06,221.1
U0443,22,Argentina,Standard,2023-07-05,643.9
U0444,59,Peru,Basic,2023-01-25,440.7
U0445,62,Colombia,Standard,2022-07-05,455.2
U0446,45,Argentina,Standard,2022-06-28,204.4
U0447,40,Colombia,Basic,2023-07-03,364.9
U0448,55,Mexico,Basic,2023-11-29,25.5
U0449,45,Mexico,Premium,2023-10-17,354.8
U0450,47,Colombia,Basic,2024-01-03,63.8
U0451,49,Chile,Basic,2022-01-19,316.2
U0452,62,Mexico,Basic,2022-02-28,186.0
U0453,28,Peru,Basic,2024-01-03,524.0
U0454,26,Argentina,Premium,2022-12-10,719.9
U0455,34,Argentina,Premium,2022-09-05,205.9
U0456,33,Mexico,Standard,2023-03-29,25.5
U0457,22,Argentina,Standard,2023-06-04,153.8
U0458,39,Chile,Standard,2023-07-20,93.1
U0459,28,Chile,Premium,2024-01-24,1050.0
U0460,65,Colombia,Standard,2023-05-06,318.2
U0461,60,Colombia,Basic,2023-09-29,113.9
U0462,45,Colombia,Standard,2022-04-22,283.3
U0463,60,Mexico,Basic,2024-01-31,163.8
U0464,60,Colombia,Basic,2022-03-16,71.9
U0465,46,Peru,Basic,2023-08-22,271.4
U0466,53,Colombia,Basic,2022-05-24,118.8
U0467,33,Colombia,Basic,2022-06-18,51.7
U0468,35,Mexico,Basic,2024-02-25,315.8
U0469,24,Chile,Standard,2022-09-05,165.2
U0470,61,Mexico,Basic,2022-09-21,173.3
U0471,41,Argentina,Standard,2022-04-29,152.6
U0472,37,Chile,Basic,2022-01-15,403.8
U0473,62,Colombia,Premium,2024-01-27,642.9
U0474,23,Colombia,Standard,2024-03-01,446.9
U0475,51,Argentina,Basic,2023-10-30,358.7
U0476,43,Mexico,Basic,2022-09-09,190.2
U0477,39,Chile,Standard,2023-04-23,517.8
U0478,31,Peru,Basic,2023-07-24,224.1
U0479,20,Mexico,Basic,2022-03-17,432.7
U0480,21,Colombia,Standard,2022-04-21,78.4
U0481,48,Mexico,Premium,2023-02-05,213.0
U0482,62,Colombia,Standard,2023-06-27,390.4
U0483,18,Colombia,Standard,2023-07-17,482.2
U0484,31,Colombia,Basic,2022-12-22,366.6
U0485,27,Colombia,Standard,2022-05-13,630.0
U0486,54,Colombia,Standard,2022-06-17,340.5
U0487,55,Mexico,Standard,2023-10-19,379.2
U0488,34,Argentina,Basic,2022-03-06,466.8
U0489,46,Colombia,Basic,2022-01-19,434.0
U0490,35,Colombia,Premium,2023-05-29,95.7
U0491,44,Colombia,Standard,2023-11-13,440.6
U0492,60,Mexico,Basic,2023-04-20,158.3
U0493,26,Argentina,Basic,2023-04-21,371.6
U0494,57,Mexico,Basic,2023-07-04,416.0
U0495,57,Peru,Basic,2022-11-13,244.2
U0496,53,Colombia,Basic,2022-11-30,398.8
U0497,58,Colombia,Basic,2023-10-21,392.6
U0498,54,Argentina,Basic,2022-10-23,83.6
U0499,32,Argentina,Basic,2023-10-26,232.8
U0500,22,Mexico,Basic,2022-04-06,265.0
U0501,33,Mexico,Standard,2023-04-02,244.3
U0502,62,Mexico,Standard,2023-02-03,174.6
U0503,52,Colombia,Basic,2024-02-16,411.8
U0504,63,Colombia,Standard,2022-10-15,364.8
U0505,53,Argentina,Basic,2023-08-29,251.1
U0506,19,Argentina,Basic,2024-01-13,295.4
U0507,46,Mexico,Premium,2023-12-01,144.8
U0508,48,Mexico,Premium,2023-03-15,156.0
U0509,60,Argentina,Standard,2023-04-18,393.3
U0510,25,Mexico,Basic,2022-10-08,86.5
U0511,33,Argentina,Premium,2022-03-29,117.2
U0512,55,Argentina,Basic,2022-10-16,158.0
U0513,38,Colombia,Premium,2023-12-05,448.3
U0514,23,Colombia,Basic,2022-09-10,504.3
U0515,54,Colombia,Premium,2024-02-07,65.6
U0516,51,Colombia,Basic,2023-02-07,172.6
U0517,58,Mexico,Basic,2022-02-05,124.5
U0518,32,Colombia,Standard,2022-10-29,283.5
U0519,52,Argentina,Basic,2022-08-09,210.5
U0520,31,Peru,Basic,2022-08-12,437.4
U0521,28,Mexico,Standard,2023-06-09,572.5
U0522,37,Argentina,Basic,2022-05-15,163.6
U0523,36,Argentina,Basic,2022-03-24,207.8
U0524,33,Peru,Premium,2023-03-05,952.0
U0525,46,Mexico,Basic,2024-02-10,87.8
U0526,36,Argentina,Basic,2023-05-31,312.4
U0527,63,Chile,Basic,2022-08-16,202.2
U0528,28,Argentina,Basic,2022-10-31,179.3
U0529,21,Mexico,Basic,2024-01-14,493.2
U0530,46,Mexico,Basic,2022-08-20,10.1
U0531,20,Colombia,Premium,2023-01-09,338.1
U0532,27,Argentina,Standard,2023-03-10,590.9
U0533,65,Mexico,Basic,2023-11-14,375.2
U0534,54,Peru,Standard,2022-03-07,113.1
U0535,47,Chile,Basic,2022-06-22,20.8
U0536,53,Mexico,Basic,2022-06-01,63.2
U0537,29,Mexico,Premium,2023-07-21,942.6
U0538,52,Mexico,Premium,2023-06-15,23.7
U0539,23,Argentina,Basic,2022-09-06,261.6
U0540,48,Peru,Premium,2023-11-16,824.1
